"","schedule_playoff","win_loss","home_fav","schedule_season","schedule_week","spread_favorite","over_under_line","weather_wind_mph","fav_elo_diff","team_favorite_id"
"223",FALSE,"underdog","home_fav",1985,8,-7,45.5,5,118.2753125,"ARI"
"224",FALSE,"fav","home_fav",1985,16,-5.5,40,0,8.50362499999983,"IND"
"225",FALSE,"fav","home_fav",1985,3,-6,43,4,154.550375,"PIT"
"226",FALSE,"fav","home_underdog",1985,16,-6,41,7,194.691333333333,"WAS"
"227",FALSE,"fav","home_underdog",1985,9,-6,42,7,154.800952777778,"WAS"
"228",FALSE,"fav","home_fav",1985,4,-6,41.5,11,147.79472310606,"CHI"
"229",FALSE,"fav","home_fav",1985,7,-3,42,14,10.7325624999999,"NYG"
"230",FALSE,"underdog","home_fav",1985,8,-2.5,35.5,8,-141.13725,"CLE"
"231",FALSE,"underdog","home_underdog",1985,1,-1,43,10,18.9227580803549,"WAS"
"232",FALSE,"fav","home_underdog",1985,14,-1,37.5,9,21.7855696481204,"WAS"
"233",FALSE,"underdog","home_fav",1985,12,-5.5,36.5,8,58.0549124999998,"PIT"
"234",FALSE,"fav","home_fav",1986,10,-11,40,12,256.958826388889,"SF"
"235",FALSE,"fav","home_fav",1986,8,-11,41,10,192.572,"DAL"
"236",FALSE,"fav","home_fav",1986,7,-13,38.5,10,259.317840277778,"WAS"
"237",FALSE,"fav","home_fav",1986,2,-2.5,42,10,100.5554375,"ATL"
"238",FALSE,"underdog","home_fav",1986,6,-3,38,4,-83.6983749999999,"TB"
"239",FALSE,"underdog","home_fav",1986,14,-4.5,36,8,100.9006875,"PHI"
"240",FALSE,"fav","home_fav",1986,3,-3,41,8,-30.3846250000001,"BUF"
"241",FALSE,"fav","home_fav",1986,15,-10.5,37,14,298.521039772727,"NYG"
"242",FALSE,"underdog","home_fav",1986,3,-7.5,42,13,92.0165625000002,"DAL"
"243",FALSE,"fav","home_fav",1986,9,-9,38,18,159.081611111111,"NE"
"244",FALSE,"underdog","home_fav",1986,1,-3.5,41,0,-28.0796874999996,"NO"
"245",FALSE,"fav","home_fav",1986,8,-3,38,7,105.305222222222,"LAR"
"246",FALSE,"underdog","home_fav",1986,16,-3,39,0,-51.1921874999998,"DET"
"247",FALSE,"fav","home_fav",1986,12,-10,41.5,13,156.403388888889,"SF"
"248",FALSE,"underdog","home_fav",1986,13,-8.5,44.5,11,77.6848750000001,"MIA"
"249",FALSE,"fav","home_underdog",1986,4,-6,45,6,184.2538125,"ATL"
"250",FALSE,"fav","home_fav",1986,16,-3,40,0,29.0665000000001,"TEN"
"251",FALSE,"fav","home_fav",1986,6,-6.5,49,10,208.6249375,"MIA"
"252",FALSE,"underdog","home_underdog",1986,9,0,41,8,53.3137499999998,"PICK"
"253",FALSE,"underdog","home_fav",1986,13,-6.5,41.5,14,166.485861111111,"KC"
"254",FALSE,"fav","home_fav",1986,5,-7.5,45.5,18,242.916034722222,"NYJ"
"255",FALSE,"underdog","home_underdog",1986,15,-4,38,0,15.5572499999998,"BUF"
"256",FALSE,"fav","home_fav",1986,12,-13,43,12,290.021673611111,"NE"
"257",FALSE,"fav","home_fav",1986,2,-6.5,44,4,182.528375,"CIN"
"258",FALSE,"fav","home_underdog",1986,11,-7,36.5,9,248.629763888889,"CHI"
"259",FALSE,"fav","home_underdog",1986,3,-11,39.5,14,342.816888888889,"CHI"
"260",FALSE,"fav","home_underdog",1986,16,-3,35,8,156.613201388889,"CHI"
"261",FALSE,"underdog","home_underdog",1986,7,-9,38.5,0,203.798388888889,"CHI"
"262",FALSE,"fav","home_underdog",1986,6,-13.5,41,0,350.503326388889,"CHI"
"263",FALSE,"fav","home_underdog",1986,10,-10.5,38,8,432.883576388889,"CHI"
"264",FALSE,"fav","home_underdog",1986,15,-9.5,38,0,299.821951388889,"CHI"
"265",FALSE,"fav","home_underdog",1986,4,-4.5,47,6,197.041451388889,"CHI"
"266",FALSE,"underdog","home_fav",1986,9,-2.5,44,0,-102.7805,"DET"
"267",FALSE,"fav","home_underdog",1986,5,-7,45,15,145.7754375,"CIN"
"268",FALSE,"underdog","home_underdog",1986,10,-4,45.5,0,153.461875,"CIN"
"269",FALSE,"underdog","home_fav",1986,14,-4.5,46,14,107.493298611111,"NE"
"270",FALSE,"underdog","home_fav",1986,3,-5,46,11,10.4425375000001,"CLE"
"271",FALSE,"fav","home_fav",1986,13,-7.5,45,15,125.225259722222,"DEN"
"272",FALSE,"underdog","home_underdog",1986,1,-1,47,11,16.0425138888886,"CIN"
"273",FALSE,"underdog","home_underdog",1986,8,-4.5,41,8,75.9073124999998,"CIN"
"274",FALSE,"fav","home_fav",1986,1,-10.5,38,9,186.598913888889,"CHI"
"275",FALSE,"underdog","home_fav",1986,15,-3,42,12,-10.4425375000001,"CIN"
"276",FALSE,"fav","home_underdog",1986,5,-3,38.5,17,86.3498499999998,"CLE"
"277",FALSE,"fav","home_underdog",1986,9,-6.5,39.5,0,208.5281625,"CLE"
"278",FALSE,"underdog","home_fav",1986,2,-1.5,40,0,-163.9044125,"TEN"
"279",FALSE,"fav","home_fav",1986,11,-6.5,39,6,60.9099625000001,"OAK"
"280",FALSE,"fav","home_underdog",1986,14,-3,37,16,192.9709125,"CLE"
"281",FALSE,"underdog","home_fav",1986,8,-4,39,0,-17.1994749999999,"MIN"
"282",FALSE,"fav","home_fav",1986,14,-5,39,8,13.2886597222223,"LAR"
"283",FALSE,"fav","home_fav",1986,5,-5,43,8,84.7970097222221,"DEN"
"284",FALSE,"fav","home_fav",1986,9,-3,41,14,105.949039772727,"NYG"
"285",FALSE,"fav","home_fav",1986,12,-3,41.5,7,112.802343589841,"WAS"
"286",FALSE,"fav","home_underdog",1986,7,-5.5,40,8,91.6713124999999,"DAL"
"287",FALSE,"fav","home_underdog",1986,2,-2.5,42,0,143.20875,"DAL"
"288",FALSE,"fav","home_underdog",1986,11,-6,43,7,82.121875,"DAL"
"289",FALSE,"fav","home_underdog",1986,4,-7,45,12,192.572,"DAL"
"290",FALSE,"underdog","home_fav",1986,9,-3.5,40,12,-53.8727597222221,"OAK"
"291",TRUE,"underdog","home_fav",1986,20,-3,38,16,-114.782722222222,"CLE"
"292",FALSE,"underdog","home_underdog",1986,7,-3.5,47,10,64.8375999999998,"DEN"
"293",FALSE,"underdog","home_underdog",1986,14,-5.5,38,10,141.267773611111,"DEN"
"294",FALSE,"fav","home_fav",1986,12,-3,38,10,21.1520300505051,"NYG"
"295",FALSE,"fav","home_underdog",1986,3,-3.5,40,9,176.468322222222,"DEN"
"296",FALSE,"fav","home_fav",1986,16,-3.5,44,0,-64.6104472222221,"SEA"
"297",FALSE,"fav","home_underdog",1986,2,-5.5,40,7,201.132572222222,"DEN"
"298",TRUE,"fav","home_fav",1986,21,-9.5,40,6,21.1520300505051,"NYG"
"299",FALSE,"fav","home_underdog",1986,6,-5.5,42.5,10,166.918884722222,"DEN"
"300",FALSE,"fav","home_underdog",1986,6,-2.5,39.5,13,42.9949375000001,"DET"
"301",FALSE,"underdog","home_fav",1986,1,-3.5,42.5,0,96.0235625,"MIN"
"302",FALSE,"fav","home_fav",1986,14,-4.5,36,9,26.8731875000001,"PIT"
"303",FALSE,"fav","home_fav",1986,4,-8.5,41.5,10,113.2230375,"CLE"
"304",FALSE,"fav","home_fav",1986,8,-14.5,39,12,299.821951388889,"CHI"
"305",FALSE,"fav","home_underdog",1986,12,-3.5,38,8,133.061625,"DET"
"306",FALSE,"fav","home_fav",1986,7,-7,37.5,9,156.497409722222,"LAR"
"307",FALSE,"underdog","home_fav",1986,11,-3.5,35,7,51.5374375000001,"PHI"
"308",FALSE,"fav","home_fav",1986,16,-12,36,13,292.152727272727,"NYG"
"309",FALSE,"underdog","home_fav",1986,13,-5,40,0,42.9949375000001,"DET"
"310",FALSE,"fav","home_fav",1986,2,-2.5,40,0,66.1074375000003,"NO"
"311",FALSE,"underdog","home_fav",1986,7,-13,41.5,6,156.217975,"CLE"
